gene.name	uniprot	MolecularFunctions	gene.score	in.AutismKB	in.DDG2P_16_7_2019	in.Table S5	in.denovo_rare(MAF<1%)	in.iPSYCH	in.SFARI	resource.count	in.signor	in.largest.comp	out.edge.in.largest.comp	in.edge.in.largest.comp	glob.out	glob.in
IGF1	P05019	"growth factor activity [GO:0008083]; hormone activity [GO:0005179]; insulin receptor binding [GO:0005158]; insulin-like growth factor receptor binding [GO:0005159]; integrin binding [GO:0005178]"	3	no	yes	no	no	no	yes	2	yes	yes	2	5	2	5
CFAP410	O43822			no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
INPP4B	O15327	"inositol-1,3,4-trisphosphate 4-phosphatase activity [GO:0017161]; inositol-3,4-bisphosphate 4-phosphatase activity [GO:0052828]; phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity [GO:0016316]; phosphatidylinositol-4,5-bisphosphate 4-phosphatase activity [GO:0034597]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
KLF1	Q13351	"DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription cis-regulatory region binding [GO:0000976]"		no	yes	no	no	no	no	1	yes	yes	3	5	3	5
SUN1	O94901	"cytoskeleton-nuclear membrane anchor activity [GO:0140444]; lamin binding [GO:0005521]; protein-membrane adaptor activity [GO:0043495]"		no	no	no	no	no	no	0	yes	yes	6	4	6	4
LRIT3	Q3SXY7			no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
PIM2	Q9P1W9	"ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]"		no	no	no	no	no	no	0	yes	yes	4	5	4	5
NDUFA13	Q9P0J0	ATP binding [GO:0005524]		no	no	no	no	no	no	0	yes	yes	1	0	1	0
SRC	P12931	"ATP binding [GO:0005524]; ATPase binding [GO:0051117]; BMP receptor binding [GO:0070700]; cadherin binding [GO:0045296]; connexin binding [GO:0071253]; enzyme binding [GO:0019899]; ephrin receptor binding [GO:0046875]; growth factor receptor binding [GO:0070851]; heme binding [GO:0020037]; insulin receptor binding [GO:0005158]; integrin binding [GO:0005178]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; nuclear estrogen receptor binding [GO:0030331]; phospholipase activator activity [GO:0016004]; phospholipase binding [GO:0043274]; phosphoprotein binding [GO:0051219]; protein C-terminus binding [GO:0008022]; protein kinase activity [GO:0004672]; protein kinase C binding [GO:0005080]; protein tyrosine kinase activity [GO:0004713]; scaffold protein binding [GO:0097110]; SH2 domain binding [GO:0042169]; signaling receptor binding [GO:0005102]; transmembrane transporter binding [GO:0044325]"		no	no	no	yes	no	no	1	yes	yes	152	44	152	44
SMC6	Q96SB8	"ATP binding [GO:0005524]; damaged DNA binding [GO:0003684]; single-stranded DNA binding [GO:0003697]; ubiquitin protein ligase binding [GO:0031625]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
JUP	P14923	"alpha-catenin binding [GO:0045294]; cadherin binding [GO:0045296]; cell adhesion molecule binding [GO:0050839]; cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication [GO:0086083]; cytoskeletal protein-membrane anchor activity [GO:0106006]; DNA-binding transcription factor binding [GO:0140297]; protein homodimerization activity [GO:0042803]; protein phosphatase binding [GO:0019903]; protein tyrosine kinase binding [GO:1990782]; protein-containing complex binding [GO:0044877]; structural molecule activity [GO:0005198]; transcription coactivator activity [GO:0003713]"		no	no	no	no	no	no	0	yes	yes	0	5	0	5
PTBP1	P26599	"DNA binding [GO:0003677]; mRNA binding [GO:0003729]; poly-pyrimidine tract binding [GO:0008187]; pre-mRNA binding [GO:0036002]; RNA binding [GO:0003723]"		no	no	no	no	no	no	0	yes	yes	0	2	0	2
PDLIM4	P50479	"actin binding [GO:0003779]; alpha-actinin binding [GO:0051393]; metal ion binding [GO:0046872]; muscle alpha-actinin binding [GO:0051371]; protein homodimerization activity [GO:0042803]; protein phosphatase binding [GO:0019903]"		no	no	no	yes	no	no	1	no	no	NA	NA	NA	NA
SOS2	Q07890	"guanyl-nucleotide exchange factor activity [GO:0005085]; protein heterodimerization activity [GO:0046982]"		no	no	no	no	no	no	0	yes	yes	2	1	2	1
NDUFB1	O75438	NADH dehydrogenase (ubiquinone) activity [GO:0008137]		no	no	no	no	no	no	0	yes	yes	1	0	1	0
EIF2S2	P20042	"metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; translation factor activity, RNA binding [GO:0008135]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]"		no	no	no	no	no	no	0	yes	yes	2	7	2	7
PTGS1	P23219	"heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]; peroxidase activity [GO:0004601]; prostaglandin-endoperoxide synthase activity [GO:0004666]"		no	no	no	no	no	no	0	yes	yes	2	8	2	8
SLC2A3	P11169	"D-glucose transmembrane transporter activity [GO:0055056]; dehydroascorbic acid transmembrane transporter activity [GO:0033300]; galactose transmembrane transporter activity [GO:0005354]; glucose binding [GO:0005536]; glucose transmembrane transporter activity [GO:0005355]; hexose transmembrane transporter activity [GO:0015149]"		no	no	no	no	no	no	0	yes	yes	2	1	2	1
KCNQ5	Q9NR82	"calmodulin binding [GO:0005516]; delayed rectifier potassium channel activity [GO:0005251]; voltage-gated potassium channel activity [GO:0005249]"		no	yes	no	no	no	no	1	yes	yes	1	1	1	1
TXN	P10599	"protein homodimerization activity [GO:0042803]; protein-disulfide reductase (NAD(P)) activity [GO:0047134]; protein-disulfide reductase activity [GO:0015035]; RNA binding [GO:0003723]; thioredoxin-disulfide reductase activity [GO:0004791]"		no	no	no	no	no	no	0	yes	yes	NA	NA	0	1
IL9R	Q01113	"cytokine receptor activity [GO:0004896]; interleukin-9 binding [GO:0019983]; interleukin-9 receptor activity [GO:0004919]"		no	no	no	no	no	no	0	yes	yes	0	1	0	1
ASIP	P42127	"melanocortin receptor binding [GO:0031779]; neuropeptide hormone activity [GO:0005184]; signaling receptor binding [GO:0005102]; type 3 melanocortin receptor binding [GO:0031781]; type 4 melanocortin receptor binding [GO:0031782]"		no	no	no	no	no	no	0	yes	yes	6	0	6	0
OR2AK2	Q8NG84	"G protein-coupled receptor activity [GO:0004930]; olfactory receptor activity [GO:0004984]"		no	no	no	yes	no	no	1	no	no	NA	NA	NA	NA
MLLT10	P55197	"chromatin binding [GO:0003682]; DNA binding [GO:0003677]; histone binding [GO:0042393]; metal ion binding [GO:0046872]; nucleosome binding [GO:0031491]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
YTHDC1	Q96MU7	"mRNA binding [GO:0003729]; N6-methyladenosine-containing RNA binding [GO:1990247]; RNA binding [GO:0003723]"		no	no	no	no	no	no	0	yes	yes	0	1	0	1
HIST1H1E				no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
GDAP1	Q8TB36			no	no	no	no	no	no	0	yes	yes	NA	NA	NA	NA
PPP5C	P53041	"ADP binding [GO:0043531]; ATP binding [GO:0005524]; Hsp90 protein binding [GO:0051879]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; metal ion binding [GO:0046872]; molecular adaptor activity [GO:0060090]; myosin phosphatase activity [GO:0017018]; phosphatase activity [GO:0016791]; phosphoprotein phosphatase activity [GO:0004721]; protein serine/threonine phosphatase activity [GO:0004722]; RNA binding [GO:0003723]; tau protein binding [GO:0048156]"	1	no	no	no	no	yes	yes	2	yes	yes	5	1	5	1
FADS1	O60427	"acyl-CoA delta5-desaturase activity [GO:0062076]; C-5 sterol desaturase activity [GO:0000248]; linoleoyl-CoA desaturase activity [GO:0016213]; omega-6 fatty acid desaturase activity [GO:0045485]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water [GO:0016717]"		no	no	no	no	no	no	0	yes	yes	2	0	2	0
G2E3	Q7L622	"metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]"		no	no	no	no	no	no	0	yes	yes	0	1	0	1
CCK	P06307	"hormone activity [GO:0005179]; neuropeptide hormone activity [GO:0005184]; peptide hormone receptor binding [GO:0051428]"		no	no	no	no	no	no	0	yes	yes	2	0	2	0
GALNT2	Q10471	"carbohydrate binding [GO:0030246]; manganese ion binding [GO:0030145]; polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]"	NA	no	no	no	no	no	yes	1	no	no	NA	NA	NA	NA
IFNG	P01579	"cytokine activity [GO:0005125]; type II interferon receptor binding [GO:0005133]"		no	no	no	no	no	no	0	yes	yes	3	2	3	2
MUT				no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
GNAI1	P63096	"G protein-coupled receptor binding [GO:0001664]; G protein-coupled serotonin receptor binding [GO:0031821]; G-protein beta/gamma-subunit complex binding [GO:0031683]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; magnesium ion binding [GO:0000287]"	1	yes	yes	no	no	yes	yes	4	yes	yes	9	126	9	126
IFNL3	Q8IZI9	"cytokine activity [GO:0005125]; signaling receptor binding [GO:0005102]"		no	no	no	no	no	no	0	yes	yes	2	0	2	0
CTSB	P07858	"collagen binding [GO:0005518]; cysteine-type endopeptidase activity [GO:0004197]; cysteine-type peptidase activity [GO:0008234]; peptidase activity [GO:0008233]; proteoglycan binding [GO:0043394]"		no	no	no	no	no	no	0	yes	yes	1	1	1	1
C4B			3	yes	no	no	no	no	yes	2	yes	yes	1	4	1	4
NFIB	O00712	"DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription regulator inhibitor activity [GO:0140416]"	3	no	yes	no	no	no	yes	2	yes	yes	16	1	16	1
ATP6AP2	O75787	signaling receptor activity [GO:0038023]		no	yes	no	no	no	no	1	yes	yes	0	1	0	1
ARHGAP18	Q8N392	"cadherin binding [GO:0045296]; GTPase activator activity [GO:0005096]"		no	no	no	no	no	no	0	yes	yes	0	1	0	1
PCDHA11	Q9Y5I1	calcium ion binding [GO:0005509]	3	no	no	no	no	no	yes	1	yes	yes	1	0	1	0
CEP57	Q86XR8	"fibroblast growth factor binding [GO:0017134]; gamma-tubulin binding [GO:0043015]; microtubule binding [GO:0008017]; protein homodimerization activity [GO:0042803]"		no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
SDF2L1	Q9HCN8	"ATPase binding [GO:0051117]; chaperone binding [GO:0051087]; misfolded protein binding [GO:0051787]"		no	no	no	no	no	no	0	yes	no	NA	NA	1	0
MCL1	Q07820	"BH3 domain binding [GO:0051434]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein transmembrane transporter activity [GO:0008320]"		no	no	no	no	no	no	0	yes	yes	2	14	2	14
PSMD14	O00487	"endopeptidase activator activity [GO:0061133]; Lys63-specific deubiquitinase activity [GO:0061578]; metal ion binding [GO:0046872]; metal-dependent deubiquitinase activity [GO:0140492]; metallopeptidase activity [GO:0008237]; proteasome binding [GO:0070628]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
TAF6L	Q9Y6J9	"DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; RNA polymerase II general transcription initiation factor activity [GO:0016251]; transcription coactivator activity [GO:0003713]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
FGF1	P05230	"fibroblast growth factor receptor binding [GO:0005104]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; Hsp70 protein binding [GO:0030544]; integrin binding [GO:0005178]; S100 protein binding [GO:0044548]"		no	no	no	no	no	no	0	yes	yes	4	1	4	1
PDCD6IP	Q8WUM4	"calcium-dependent protein binding [GO:0048306]; protein homodimerization activity [GO:0042803]; proteinase activated receptor binding [GO:0031871]"		no	no	no	no	no	no	0	yes	yes	0	1	0	1
VEPH1	Q14D04	phosphatidylinositol-5-phosphate binding [GO:0010314]		no	no	no	no	no	no	0	yes	yes	NA	NA	NA	NA
AVPR1B	P47901	"G protein-coupled receptor activity [GO:0004930]; peptide binding [GO:0042277]; protein kinase C binding [GO:0005080]; vasopressin receptor activity [GO:0005000]"	3	no	no	no	no	no	yes	1	yes	yes	5	1	5	1
GABPB1	Q06547	transcription cis-regulatory region binding [GO:0000976]		no	no	no	no	no	no	0	yes	yes	1	0	1	0
TYROBP	O43914	"identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; signaling receptor binding [GO:0005102]"		no	no	no	no	no	no	0	yes	yes	0	1	0	1
RNF43	Q68DV7	"frizzled binding [GO:0005109]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]"		no	no	no	no	no	no	0	yes	yes	1	1	1	1
DIPK2A	Q8NDZ4		3	no	no	no	no	no	yes	1	no	no	NA	NA	NA	NA
IL22	Q9GZX6	"cytokine activity [GO:0005125]; interleukin-22 receptor binding [GO:0045518]"		no	no	no	no	no	no	0	yes	yes	3	1	3	1
SEC63	Q9UGP8	"protein transmembrane transporter activity [GO:0008320]; RNA binding [GO:0003723]; signaling receptor activity [GO:0038023]"		no	no	no	no	no	no	0	yes	yes	1	3	1	3
IRF3	Q14653	"DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; identical protein binding [GO:0042802]; promoter-specific chromatin binding [GO:1990841]; protein domain specific binding [GO:0019904]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]"		no	no	no	no	no	no	0	yes	yes	2	11	2	11
MRPL23	Q16540	"RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]"		no	no	no	no	no	no	0	yes	yes	NA	NA	1	0
KLK4	Q9Y5K2	"metal ion binding [GO:0046872]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]"		no	no	no	no	no	no	0	yes	yes	NA	NA	NA	NA
TFRC	P02786	"chaperone binding [GO:0051087]; double-stranded RNA binding [GO:0003725]; Hsp70 protein binding [GO:0030544]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein-containing complex binding [GO:0044877]; RNA binding [GO:0003723]; transferrin receptor activity [GO:0004998]; virus receptor activity [GO:0001618]"		no	yes	no	no	no	no	1	yes	no	NA	NA	0	1
LIPT2	A6NK58	"ligase activity [GO:0016874]; lipoyl(octanoyl) transferase activity [GO:0033819]"		no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
PNPT1	Q8TCS8	"3'-5'-exoribonuclease activity [GO:0000175]; identical protein binding [GO:0042802]; miRNA binding [GO:0035198]; poly(G) binding [GO:0034046]; poly(U) RNA binding [GO:0008266]; polyribonucleotide nucleotidyltransferase activity [GO:0004654]; RNA binding [GO:0003723]"		no	yes	no	no	no	no	1	yes	yes	0	1	0	1
FOXD4L5	Q5VV16	"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]"		no	no	no	yes	no	no	1	no	no	NA	NA	NA	NA
NEURL1B	A8MQ27	"metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]"		no	no	no	no	no	no	0	yes	yes	0	1	0	1
TUBB3	Q13509	"GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; netrin receptor binding [GO:1990890]; peptide binding [GO:0042277]; structural constituent of cytoskeleton [GO:0005200]"		no	yes	no	no	no	no	1	yes	yes	0	2	0	2
PRKCG	P05129	"ATP binding [GO:0005524]; calcium-dependent protein kinase C activity [GO:0004698]; protein kinase activity [GO:0004672]; protein kinase C activity [GO:0004697]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; zinc ion binding [GO:0008270]"		no	no	no	no	no	no	0	yes	yes	34	3	34	3
POLR2K	P53803	"DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; zinc ion binding [GO:0008270]"		no	no	no	no	no	no	0	yes	yes	3	0	3	0
TRIM27	P14373	"DNA binding [GO:0003677]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; SUMO transferase activity [GO:0019789]; transcription coactivator activity [GO:0003713]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]"		no	no	no	no	no	no	0	yes	yes	4	2	4	2
FANCL	Q9NW38	"metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]"		no	yes	no	no	no	no	1	yes	yes	3	2	3	2
NIPA1	Q7RTP0	magnesium ion transmembrane transporter activity [GO:0015095]	3	no	no	no	no	no	yes	1	no	no	NA	NA	NA	NA
RMND1	Q9NWS8			no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
RNF135	Q8IUD6	"identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; ribonucleoprotein complex binding [GO:0043021]; RIG-I binding [GO:0039552]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]"	3	no	yes	no	no	no	yes	2	yes	yes	1	1	1	1
LAT	O43561	"protein kinase binding [GO:0019901]; signaling receptor complex adaptor activity [GO:0030159]"		no	no	no	no	no	no	0	yes	yes	7	7	7	7
NEDD4	P46934	"beta-2 adrenergic receptor binding [GO:0031698]; enzyme binding [GO:0019899]; phosphoserine residue binding [GO:0050815]; phosphothreonine residue binding [GO:0050816]; proline-rich region binding [GO:0070064]; protein domain specific binding [GO:0019904]; RNA polymerase binding [GO:0070063]; sodium channel inhibitor activity [GO:0019871]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase activity [GO:0061630]"		no	no	no	no	no	no	0	yes	yes	2	3	2	3
RBKS	Q9H477	"ATP binding [GO:0005524]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; ribokinase activity [GO:0004747]"		no	no	no	no	no	no	0	yes	yes	2	0	2	0
PHF21A	Q96BD5	"chromatin binding [GO:0003682]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]"	1	no	yes	no	no	yes	yes	3	yes	yes	2	0	2	0
MDM2	Q00987	"5S rRNA binding [GO:0008097]; disordered domain specific binding [GO:0097718]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; ligase activity [GO:0016874]; NEDD8 ligase activity [GO:0061663]; p53 binding [GO:0002039]; protein domain specific binding [GO:0019904]; protein N-terminus binding [GO:0047485]; ribonucleoprotein complex binding [GO:0043021]; SUMO transferase activity [GO:0019789]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]"		no	no	no	no	no	no	0	yes	yes	9	29	9	29
UBE2E1	P51965	"ATP binding [GO:0005524]; ISG15 transferase activity [GO:0042296]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin-protein transferase activity [GO:0004842]"		no	no	no	no	no	no	0	yes	yes	0	2	0	2
PAK3	O75914	"ATP binding [GO:0005524]; MAP kinase kinase activity [GO:0004708]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; SH3 domain binding [GO:0017124]; small GTPase binding [GO:0031267]"		no	yes	no	no	no	no	1	yes	yes	5	0	5	0
MTHFD2	P13995	"magnesium ion binding [GO:0000287]; methenyltetrahydrofolate cyclohydrolase activity [GO:0004477]; methylenetetrahydrofolate dehydrogenase (NAD+) activity [GO:0004487]; methylenetetrahydrofolate dehydrogenase (NADP+) activity [GO:0004488]; phosphate ion binding [GO:0042301]"		no	no	no	no	no	no	0	yes	yes	2	0	2	0
TEX12	Q9BXU0			no	no	no	no	no	no	0	yes	yes	1	0	1	0
ATP8B1	O43520	"ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; cardiolipin binding [GO:1901612]; magnesium ion binding [GO:0000287]; phosphatidylcholine flippase activity [GO:0140345]; phosphatidylcholine floppase activity [GO:0090554]; phosphatidylserine flippase activity [GO:0140346]; phosphatidylserine floppase activity [GO:0090556]"		no	yes	no	no	no	no	1	yes	yes	NA	NA	NA	NA
ARHGAP9	Q9BRR9	"GTPase activator activity [GO:0005096]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]"		no	no	no	no	no	no	0	yes	yes	1	0	1	0
PRDM12	Q9H4Q4	"DNA binding [GO:0003677]; histone methyltransferase binding [GO:1990226]; metal ion binding [GO:0046872]; methyltransferase activity [GO:0008168]"		no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
STAT1	P42224	"cadherin binding [GO:0045296]; CCR5 chemokine receptor binding [GO:0031730]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; double-stranded DNA binding [GO:0003690]; enzyme binding [GO:0019899]; histone acetyltransferase binding [GO:0035035]; histone binding [GO:0042393]; identical protein binding [GO:0042802]; nuclear receptor binding [GO:0016922]; promoter-specific chromatin binding [GO:1990841]; protein homodimerization activity [GO:0042803]; protein phosphatase 2A binding [GO:0051721]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; transcription coactivator binding [GO:0001223]; transcription corepressor binding [GO:0001222]; tumor necrosis factor receptor binding [GO:0005164]; ubiquitin-like protein ligase binding [GO:0044389]"		no	no	no	no	no	no	0	yes	yes	10	24	10	24
CCDC50	Q8IVM0	ubiquitin protein ligase binding [GO:0031625]		no	no	no	no	no	no	0	yes	yes	0	2	0	2
ATG12	O94817			no	no	no	no	no	no	0	yes	yes	1	2	1	2
TRIM41	Q8WV44	"identical protein binding [GO:0042802]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]"		no	no	no	no	no	no	0	yes	yes	0	1	0	1
CABYR	O75952	"calcium ion binding [GO:0005509]; enzyme binding [GO:0019899]; SH3 domain binding [GO:0017124]"		no	no	no	no	no	no	0	yes	yes	0	1	0	1
SULT1E1	P49888	"aryl sulfotransferase activity [GO:0004062]; estrone sulfotransferase activity [GO:0004304]; flavonol 3-sulfotransferase activity [GO:0047894]; steroid binding [GO:0005496]; steroid sulfotransferase activity [GO:0050294]; sulfotransferase activity [GO:0008146]"		no	no	no	no	no	no	0	yes	yes	2	0	2	0
GLIPR2	Q9H4G4	protein homodimerization activity [GO:0042803]		no	no	no	no	no	no	0	yes	yes	0	1	0	1
FOXN1	O15353	"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; transcription cis-regulatory region binding [GO:0000976]"		no	yes	no	no	no	no	1	yes	yes	NA	NA	NA	NA
PEX11B	O96011	"identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]"		no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
C12orf57	Q99622		NA	no	yes	no	no	no	yes	2	no	no	NA	NA	NA	NA
DLGAP1	O14490	"molecular adaptor activity [GO:0060090]; protein-containing complex binding [GO:0044877]"	2	no	no	no	no	no	yes	1	yes	yes	4	1	4	1
UGT1A4	P22310	"enzyme binding [GO:0019899]; glucuronosyltransferase activity [GO:0015020]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]"		no	no	no	no	no	no	0	yes	yes	NA	NA	NA	NA
FGG	P02679	"cell adhesion molecule binding [GO:0050839]; extracellular matrix structural constituent [GO:0005201]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; signaling receptor binding [GO:0005102]; structural molecule activity [GO:0005198]"		no	no	no	no	no	no	0	yes	yes	4	3	4	3
NHS	Q6T4R5			yes	yes	no	no	no	no	2	yes	yes	3	4	3	4
HGSNAT	Q68CP4	"acyltransferase activity [GO:0016746]; heparan-alpha-glucosaminide N-acetyltransferase activity [GO:0015019]"		no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
PHACTR1	Q9C0D0	"actin binding [GO:0003779]; protein phosphatase 1 binding [GO:0008157]; protein phosphatase inhibitor activity [GO:0004864]"		no	yes	no	no	no	no	1	yes	yes	2	0	2	0
SLC25A39	Q9BZJ4		3	no	no	no	no	no	yes	1	no	no	NA	NA	NA	NA
MAOA	P21397	"aliphatic amine oxidase activity [GO:0052595]; flavin adenine dinucleotide binding [GO:0050660]; monoamine oxidase activity [GO:0097621]; phenethylamine:oxygen oxidoreductase (deaminating) activity [GO:0052596]; primary amine oxidase activity [GO:0008131]"	3	yes	yes	no	no	no	yes	3	yes	yes	6	2	6	2
PDE1A	P54750	"3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; calmodulin binding [GO:0005516]; calmodulin-activated 3',5'-cyclic-GMP phosphodiesterase activity [GO:0048101]; calmodulin-activated dual specificity 3',5'-cyclic-GMP, 3',5'-cyclic-AMP phosphodiesterase activity [GO:0004117]; metal ion binding [GO:0046872]"		no	no	no	no	no	no	0	yes	yes	1	1	1	1
MARCHF4	Q9P2E8	"ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]"		no	no	no	no	no	no	0	yes	yes	0	1	0	1
SI	P14410	"alpha-1,4-glucosidase activity [GO:0004558]; carbohydrate binding [GO:0030246]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; oligo-1,6-glucosidase activity [GO:0004574]; sucrose alpha-glucosidase activity [GO:0004575]"		no	no	no	no	no	no	0	yes	yes	0	1	0	1
TEAD2	Q15562	"disordered domain specific binding [GO:0097718]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription coactivator binding [GO:0001223]"		no	no	no	no	no	no	0	yes	yes	0	2	0	2
MED13L	Q71F56	transcription coregulator activity [GO:0003712]	1	yes	yes	no	yes	yes	yes	5	yes	yes	1	2	1	2
GALK1	P51570	"ATP binding [GO:0005524]; galactokinase activity [GO:0004335]; galactose binding [GO:0005534]"		no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
USP27X	A6NNY8	"cysteine-type deubiquitinase activity [GO:0004843]; cysteine-type endopeptidase activity [GO:0004197]; Lys48-specific deubiquitinase activity [GO:1990380]; Lys63-specific deubiquitinase activity [GO:0061578]"		no	yes	no	no	no	no	1	no	no	NA	NA	NA	NA
MXD4	Q14582	"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]"		no	no	no	no	no	no	0	yes	yes	0	2	0	2
